Start_time,Depthsum,Depths
2020.01.23,5827093,274954
2020.01.24,7357025,346546
2020.01.25,6655495,313391
2020.01.26,10347477,487288
2020.01.27,2153155,101360
2020.01.28,10339484,486157
2020.01.29,12575195,590947
2020.01.30,20142368,944216
2020.01.31,34096916,1601959
2020.02.01,7406819,349036
2020.02.02,8846785,417635
2020.02.03,7171053,338054
2020.02.04,8622107,406281
2020.02.05,4307888,203016
2020.02.06,6136628,289180
2020.02.07,2307320,108664
2020.02.08,2909164,136488
2020.02.09,9440128,439278
2020.02.10,8957017,419090
2020.02.11,7108906,333224
2020.02.12,11148133,522148
2020.02.13,9318083,436936
2020.02.14,5739985,268966
2020.02.15,6481447,303943
2020.02.16,3319378,155787
2020.02.17,2096628,98405
2020.02.18,7916866,371920
2020.02.19,4594096,215988
2020.02.20,8149631,383272
2020.02.21,5781870,272296
2020.02.22,9751751,459211
2020.02.23,6509243,306350
2020.02.24,7346456,345886
2020.02.25,8164351,383802
2020.02.26,3393610,159292
2020.02.27,7967026,375227
2020.02.28,7338973,345505
2020.02.29,7519234,353904
2020.03.01,7989810,376041
2020.03.02,8485588,399435
2020.03.03,3649564,171929
2020.03.04,6635763,312204
2020.03.05,9365559,441050
2020.03.06,8299779,391152
2020.03.07,5090462,240064
2020.03.08,3012302,141884
2020.03.09,6600505,310829
2020.03.10,4844286,213842
2020.03.11,3883927,182985
2020.03.12,2309793,108640
2020.03.13,2033675,95772
2020.03.14,4250683,199930
2020.03.15,5557322,261636
2020.03.16,7878235,370770
2020.03.17,9014322,423917
2020.03.18,7218731,338430
2020.03.19,8084135,378592
2020.03.20,4469511,209034
2020.03.21,9496516,443605
2020.03.22,7321583,341125
2020.03.23,7843331,365490
2020.03.24,7599894,354255
2020.03.25,9793532,456481
2020.03.26,11415024,532140
2020.03.27,14295394,665157
2020.03.28,19116913,892838
2020.03.29,11724002,548196
2020.03.30,11675467,546557
2020.03.31,12687910,594087
2020.04.01,8653481,405578
2020.04.02,8076723,378290
2020.04.03,8449994,395751
2020.04.04,4576970,214334
2020.04.05,3726048,174057
2020.04.06,3688346,173054
2020.04.07,6080013,284413
2020.04.08,23625122,1096599
2020.04.09,21931187,1018904
2020.04.10,21703936,1006742
2020.04.11,7116238,331256
2020.04.12,14870515,692910
2020.04.13,13391357,623225
2020.04.14,7838255,366506
2020.04.15,31196147,1453892
2020.04.16,27684610,1288066
2020.04.17,28617771,1329381
2020.04.18,15561743,722522
2020.04.19,3189679,147368
2020.04.20,7955915,367910
2020.04.21,8203951,378628
2020.04.22,9464879,438104
